Bradlecká Lhota;50.488672;15.396332;Semily;Liberecký kraj
Brambory;49.978250;15.470316;Kutná Hora;Středočeský kraj
Braňany;50.543055;13.700283;Most;Ústecký kraj
Brandov;50.632110;13.390831;Most;Ústecký kraj
Brandýs nad Labem - Stará Boleslav;50.186426;14.659344;Praha-východ;Středočeský kraj
Brandýs nad Orlicí;50.002042;16.285384;Ústí nad Orlicí;Pardubický kraj
Brandýsek;50.189330;14.162098;Kladno;Středočeský kraj
Branice;49.402569;14.339640;Písek;Jihočeský kraj
Braníškov;49.294469;16.345762;Brno-venkov;Jihomoravský kraj
Branišov;48.978807;14.395791;České Budějovice;Jihočeský kraj
Branišovice;48.962911;16.431951;Brno-venkov;Jihomoravský kraj
Branka u Opavy;49.888057;17.882754;Opava;Moravskoslezský kraj
Brankovice;49.156081;17.134911;Vyškov;Jihomoravský kraj
Branky;49.461056;17.893060;Vsetín;Zlínský kraj
Branná;50.153360;17.011954;Šumperk;Olomoucký kraj
Branov;50.012981;13.843021;Rakovník;Středočeský kraj
Bransouze;49.302776;15.751924;Třebíč;Kraj Vysočina
Brantice;50.063603;17.629214;Bruntál;Moravskoslezský kraj
Branžež;50.507685;15.058005;Mladá Boleslav;Středočeský kraj
Braškov;50.102133;14.100859;Kladno;Středočeský kraj
Bratčice;49.065247;16.523184;Brno-venkov;Jihomoravský kraj
Bratčice;49.855317;15.430482;Kutná Hora;Středočeský kraj
Bratkovice;49.740519;13.999043;Příbram;Středočeský kraj
Bratronice;49.365361;13.842454;Strakonice;Jihočeský kraj
Bratronice;50.067851;14.014265;Kladno;Středočeský kraj
Bratrušov;50.009487;16.949028;Šumperk;Olomoucký kraj
Bratřejov;49.222558;17.913427;Zlín;Zlínský kraj
Bratřice;49.516554;15.001328;Pelhřimov;Kraj Vysočina
Bratříkovice;49.932674;17.687641;Opava;Moravskoslezský kraj
Bratřínov;49.842681;14.340242;Praha-západ;Středočeský kraj
Bravantice;49.757218;18.082863;Nový Jičín;Moravskoslezský kraj
Brázdim;50.183633;14.588290;Praha-východ;Středočeský kraj
Bražec;50.172681;13.046575;Karlovy Vary;Karlovarský kraj
Brdy (vojenský újezd);49.789268;13.903243;Příbram;Středočeský kraj
Brloh;48.929980;14.218667;Český Krumlov;Jihočeský kraj
Brloh;50.000688;15.557385;Pardubice;Pardubický kraj
Brňany;50.481073;14.141967;Litoměřice;Ústecký kraj
Brněnec;49.627449;16.522125;Svitavy;Pardubický kraj
Brníčko;49.894982;16.968308;Šumperk;Olomoucký kraj
Brnířov;49.382698;13.049690;Domažlice;Plzeňský kraj
Brniště;50.729288;14.703495;Česká Lípa;Liberecký kraj
Brno;49.195160;16.606937;Brno-město;Jihomoravský kraj
Brod nad Dyjí;48.875309;16.535482;Břeclav;Jihomoravský kraj
Brod nad Tichou;49.835396;12.741203;Tachov;Plzeňský kraj
Brodce;50.330780;14.869280;Mladá Boleslav;Středočeský kraj
Brodec;50.295025;13.801725;Louny;Ústecký kraj
Brodek u Konice;49.548791;16.832970;Prostějov;Olomoucký kraj
Brodek u Prostějova;49.370064;17.090164;Prostějov;Olomoucký kraj
Brodek u Přerova;49.484289;17.338354;Přerov;Olomoucký kraj
Brodeslavy;49.953778;13.557097;Plzeň-sever;Plzeňský kraj
Broumov;50.585758;16.331915;Náchod;Královéhradecký kraj
Broumov;49.889478;12.606805;Tachov;Plzeňský kraj
Broumy;49.955171;13.852368;Beroun;Středočeský kraj
Brozany nad Ohří;50.453763;14.145512;Litoměřice;Ústecký kraj
Brtnice;49.307047;15.676522;Jihlava;Kraj Vysočina
Brtnička;49.237281;15.624317;Jihlava;Kraj Vysočina
Brťov-Jeneč;49.413781;16.517076;Blansko;Jihomoravský kraj
Brumov;49.462484;16.425856;Brno-venkov;Jihomoravský kraj
Brumov-Bylnice;49.092465;18.022809;Zlín;Zlínský kraj
Brumovice;48.960895;16.896260;Břeclav;Jihomoravský kraj
Brumovice;50.015393;17.749685;Opava;Moravskoslezský kraj
Bruntál;49.988277;17.463794;Bruntál;Moravskoslezský kraj
Brusné;49.363440;17.660807;Kroměříž;Zlínský kraj
Brušperk;49.700196;18.222205;Frýdek-Místek;Moravskoslezský kraj
Bruzovice;49.717092;18.409749;Frýdek-Místek;Moravskoslezský kraj
Brzánky;50.461941;14.301296;Litoměřice;Ústecký kraj
Brzice;50.444489;15.958411;Náchod;Královéhradecký kraj
Brzkov;49.526068;15.727240;Jihlava;Kraj Vysočina
Břasy;49.837107;13.578439;Rokycany;Plzeňský kraj
Břeclav;48.753240;16.882617;Břeclav;Jihomoravský kraj
Břehov;49.022388;14.330668;České Budějovice;Jihočeský kraj
Břehy;50.051994;15.577582;Pardubice;Pardubický kraj
Břest;49.351167;17.440825;Kroměříž;Zlínský kraj
Břestek;49.094985;17.356023;Uherské Hradiště;Zlínský kraj
Břevnice;49.631361;15.612697;Havlíčkův Brod;Kraj Vysočina
Březejc;49.346399;16.091562;Žďár nad Sázavou;Kraj Vysočina
Březí;49.507873;13.797583;Strakonice;Jihočeský kraj
Březí;48.819377;16.567583;Břeclav;Jihomoravský kraj
Březí;49.343279;16.216045;Žďár nad Sázavou;Kraj Vysočina
Březí;50.014766;14.699389;Praha-východ;Středočeský kraj
Březí nad Oslavou;49.502993;15.935697;Žďár nad Sázavou;Kraj Vysočina
Březina;49.290639;14.909760;Jindřichův Hradec;Jihočeský kraj
Březina;50.434394;15.313367;Jičín;Královéhradecký kraj
Březina;49.651038;16.619713;Svitavy;Pardubický kraj
Březina;49.807642;13.596901;Rokycany;Plzeňský kraj
Březina;50.548647;15.032901;Mladá Boleslav;Středočeský kraj
Březina;49.282167;16.755163;Brno-venkov;Jihomoravský kraj
Březina;49.281698;16.749623;Brno-venkov;Jihomoravský kraj
Březina (vojenský újezd);49.368199;16.960939;Vyškov;Jihomoravský kraj
